FR0003500008;19/04/06;5150.39;5171.76;5125.57;5158.14;4837533
FR0003500008;20/04/06;5158.24;5227.13;5158.24;5206.79;5334168
FR0003500008;21/04/06;5223.83;5252.38;5221.56;5252.38;4875335
FR0003500008;24/04/06;5227.70;5239.38;5219.27;5221.44;3857657
FR0003500008;25/04/06;5238.64;5255.15;5227.94;5235.34;4675323
FR0003500008;26/04/06;5244.47;5261.60;5241.99;5252.32;4404953
FR0003500008;27/04/06;5257.76;5257.76;5169.98;5213.55;6465617
FR0003500008;28/04/06;5211.14;5219.07;5184.27;5188.40;4945889
FR0003500008;02/05/06;5187.34;5249.47;5185.68;5241.19;4845005
FR0003500008;03/05/06;5260.57;5267.51;5193.94;5193.94;5371300
FR0003500008;04/05/06;5198.12;5241.49;5187.72;5233.70;4646139
FR0003500008;05/05/06;5244.21;5287.24;5237.52;5286.40;4672112
FR0003500008;08/05/06;5297.50;5315.03;5277.31;5282.40;3836876
FR0003500008;09/05/06;5292.29;5312.18;5272.82;5312.18;4532900
FR0003500008;10/05/06;5285.15;5310.65;5276.46;5278.27;5242363
FR0003500008;11/05/06;5284.06;5329.16;5259.12;5262.94;7554594
FR0003500008;12/05/06;5226.81;5238.40;5150.45;5150.45;9375055
FR0003500008;15/05/06;5130.53;5137.43;5052.80;5064.85;8387002
FR0003500008;16/05/06;5065.49;5100.71;5042.22;5081.69;6810160
FR0003500008;17/05/06;5103.58;5110.20;4920.31;4920.31;7634176
FR0003500008;18/05/06;4922.31;4959.81;4841.77;4908.69;7675896
FR0003500008;19/05/06;4933.73;4964.84;4906.74;4944.57;7231942
FR0003500008;22/05/06;4934.11;4934.11;4798.81;4813.50;7268903
FR0003500008;23/05/06;4847.52;4963.10;4847.52;4931.53;7713867
FR0003500008;24/05/06;4892.71;4908.77;4822.60;4870.02;6183472
FR0003500008;25/05/06;4878.51;4949.53;4840.58;4949.53;4144730
FR0003500008;26/05/06;4993.01;5045.09;4970.08;5045.09;6603920
FR0003500008;29/05/06;5022.86;5026.36;5009.17;5015.32;1960675
FR0003500008;30/05/06;5010.35;5023.41;4882.72;4893.87;6474194
FR0003500008;31/05/06;4834.56;4937.91;4821.13;4930.18;6452951
FR0003500008;01/06/06;4927.13;4954.46;4885.34;4947.29;4623089
FR0003500008;02/06/06;5000.45;5023.17;4937.81;4959.70;4986059
FR0003500008;05/06/06;4960.16;4970.51;4906.46;4916.04;2900608
FR0003500008;06/06/06;4834.44;4857.39;4786.43;4797.92;5609093
FR0003500008;07/06/06;4820.29;4832.50;4767.32;4824.77;5188528
FR0003500008;08/06/06;4706.39;4762.74;4684.34;4684.34;8123909
FR0003500008;09/06/06;4757.55;4785.59;4736.49;4768.18;5123846
FR0003500008;12/06/06;4757.56;4780.08;4720.16;4723.18;3677795
FR0003500008;13/06/06;4635.30;4660.34;4594.34;4617.59;6604014
FR0003500008;14/06/06;4622.22;4642.15;4564.69;4615.44;8058345
FR0003500008;15/06/06;4639.40;4729.80;4639.40;4724.58;6373759
FR0003500008;16/06/06;4789.94;4801.63;4681.47;4694.89;10957876
FR0003500008;19/06/06;4722.62;4772.62;4718.72;4729.02;4829751
FR0003500008;20/06/06;4687.39;4770.42;4678.37;4770.42;4966098
FR0003500008;21/06/06;4780.45;4785.86;4711.17;4774.73;4917861
FR0003500008;22/06/06;4828.63;4838.54;4775.59;4803.29;4297898
FR0003500008;23/06/06;4812.80;4834.20;4788.80;4817.63;3647520
FR0003500008;26/06/06;4838.72;4842.80;4796.15;4801.49;5905312
FR0003500008;27/06/06;4829.16;4832.16;4766.10;4771.24;4529065
FR0003500008;28/06/06;4751.79;4802.61;4744.58;4774.00;4314394
FR0003500008;29/06/06;4814.91;4880.38;4800.49;4880.38;4883625
FR0003500008;30/06/06;4946.59;4974.53;4914.25;4965.96;5922893
FR0003500008;03/07/06;4967.07;4982.84;4952.16;4980.62;4776760
FR0003500008;04/07/06;4985.84;4985.84;4948.41;4983.88;2505912
FR0003500008;05/07/06;4959.93;4963.44;4902.57;4921.30;4752661
FR0003500008;06/07/06;4935.28;4971.69;4933.19;4966.45;5227600
FR0003500008;07/07/06;4950.71;4977.68;4921.57;4953.71;3992591
FR0003500008;10/07/06;4939.20;4989.29;4908.98;4982.48;3934937
FR0003500008;11/07/06;4954.15;4975.78;4903.28;4914.39;6095288
FR0003500008;12/07/06;4946.12;4978.73;4932.70;4941.73;4802785
FR0003500008;13/07/06;4903.58;4904.01;4834.81;4852.52;6193227
FR0003500008;14/07/06;4811.80;4842.85;4780.79;4780.79;3574812
FR0003500008;17/07/06;4790.92;4790.92;4710.61;4750.08;4297477
FR0003500008;18/07/06;4740.01;4763.83;4715.62;4734.54;4313336
FR0003500008;19/07/06;4733.27;4846.54;4733.27;4846.54;4644508
FR0003500008;20/07/06;4870.27;4895.10;4854.58;4865.04;3794130
FR0003500008;21/07/06;4841.28;4860.49;4802.59;4818.55;3884534
FR0003500008;24/07/06;4827.07;4919.44;4826.17;4914.93;3353685
FR0003500008;25/07/06;4931.94;4958.05;4915.90;4933.12;3855316
FR0003500008;26/07/06;4937.07;4954.80;4925.47;4943.00;4256181
FR0003500008;27/07/06;4974.42;5001.21;4961.54;5001.21;6086155
FR0003500008;28/07/06;4978.07;5030.78;4962.54;5028.51;4510695
FR0003500008;31/07/06;5024.51;5034.06;5006.28;5009.42;3040527
FR0003500008;01/08/06;5010.95;5024.09;4932.41;4948.23;3888776
FR0003500008;02/08/06;4984.11;5027.20;4976.51;5026.25;4745874
FR0003500008;03/08/06;5034.46;5038.68;4958.18;4983.68;4822253
FR0003500008;04/08/06;5013.43;5060.47;4995.77;5040.95;4759607
FR0003500008;07/08/06;4980.44;4995.50;4950.18;4956.34;3490759
FR0003500008;08/08/06;4986.91;4991.49;4943.57;4967.95;3556904
FR0003500008;09/08/06;4982.84;5033.19;4948.18;5025.15;4131584
FR0003500008;10/08/06;4973.73;4986.60;4935.96;4976.64;4025087
FR0003500008;11/08/06;4993.13;5015.01;4962.62;4985.52;3129016
FR0003500008;14/08/06;5019.17;5050.40;5015.48;5046.93;2609028
FR0003500008;15/08/06;5033.20;5125.62;5031.22;5115.02;3495062
FR0003500008;16/08/06;5117.22;5140.73;5102.23;5137.31;4185205
FR0003500008;17/08/06;5139.78;5144.84;5122.40;5144.84;3983911
FR0003500008;18/08/06;5142.67;5157.60;5127.44;5135.69;4016848
FR0003500008;21/08/06;5126.74;5136.22;5094.73;5104.65;2697472
FR0003500008;22/08/06;5126.19;5131.18;5072.73;5128.33;3420671
FR0003500008;23/08/06;5126.55;5131.51;5075.44;5082.73;3121035
FR0003500008;24/08/06;5085.44;5128.96;5064.83;5112.85;3430913
FR0003500008;25/08/06;5118.41;5133.78;5089.45;5111.13;2627820
FR0003500008;28/08/06;5104.38;5154.27;5083.01;5148.52;1925840
FR0003500008;29/08/06;5151.68;5183.47;5144.48;5160.32;3520741
FR0003500008;30/08/06;5176.97;5196.91;5162.71;5182.79;3546306
FR0003500008;31/08/06;5196.08;5196.90;5157.56;5165.04;4234219
FR0003500008;01/09/06;5181.98;5206.23;5170.01;5183.45;4172612
FR0003500008;04/09/06;5195.18;5209.06;5190.38;5203.24;3017299
FR0003500008;05/09/06;5201.96;5202.44;5147.33;5172.85;3437298
FR0003500008;06/09/06;5173.36;5179.88;5107.95;5115.52;4517003
FR0003500008;07/09/06;5090.24;5090.27;5043.76;5060.09;4819333
FR0003500008;08/09/06;5072.75;5091.32;5058.07;5073.57;3628048
FR0003500008;11/09/06;5042.88;5058.31;5018.18;5058.31;3730930
FR0003500008;12/09/06;5042.88;5129.36;5037.73;5125.97;4980346
FR0003500008;13/09/06;5142.98;5152.89;5113.22;5137.93;4046428
FR0003500008;14/09/06;5149.09;5165.39;5106.25;5123.85;4203462
FR0003500008;15/09/06;5131.02;5163.06;5112.88;5144.88;9442267
FR0003500008;18/09/06;5152.90;5159.46;5119.36;5146.96;3496059
FR0003500008;19/09/06;5148.68;5151.78;5091.94;5115.99;4332126
FR0003500008;20/09/06;5110.61;5199.11;5106.01;5192.74;4961354
FR0003500008;21/09/06;5190.28;5222.83;5175.18;5208.32;5233735
FR0003500008;22/09/06;5169.51;5182.73;5122.77;5141.95;3915990
FR0003500008;25/09/06;5156.44;5183.89;5126.39;5146.49;4081830
FR0003500008;26/09/06;5184.83;5229.14;5176.65;5219.59;4846820
FR0003500008;27/09/06;5240.98;5252.75;5208.89;5243.10;5392489
FR0003500008;28/09/06;5237.58;5263.44;5232.78;5250.01;5023410
FR0003500008;29/09/06;5258.84;5285.34;5246.98;5250.01;3849266
FR0003500008;02/10/06;5268.63;5276.23;5229.22;5243.13;4082348
FR0003500008;03/10/06;5223.75;5230.51;5196.07;5219.79;4269507
FR0003500008;04/10/06;5219.25;5261.24;5216.36;5256.55;5589643
